Dollar Price Index,year,month,EURUSD,NASDAQ Composite,"All Employees, Total Nonfarm",Consumer Price Index - All Items,Consumer Price Index - Urban Consumers,Federal Funds Effective Rate - Interest Rate,Labor force participation rate - Male,Personal Consumption Expenditures,Personal Income,Personal interest payments,Personal Saving Rate,Population,Producer Price Index - Total Manufacturing Industries,Producer Price Index by Commodity - All Commodities,Unemployment Rate,University of Michigan - Inflation Expectation,Working Age Population,DATE
86.919998,2003,12,1.259002,2003.369995,130595,77.7581354923908,185.5,0.98,90.7,7950.4,9734.9,200.3,5.2,291868.0,137.7,139.5,5.7,2.6,188134095.260604,2003-12-01 00:00:00+00:00
87.199997,2004,1,1.245206,2066.149902,130765,78.1378550905631,186.3,1.0,90.7,8007.1,9753.2,201.7,4.9,292046.0,138.9,141.4,5.7,2.7,187686790.763092,2004-01-01 00:00:00+00:00
87.309998,2004,2,1.253007,2029.819946,130822,78.559765755199,186.7,1.01,90.4,8040.4,9786.7,201.0,4.9,292230.0,139.3,142.1,5.6,2.6,187874649.36408705,2004-02-01 00:00:00+00:00
87.610001,2004,3,1.2313,1994.219971,131139,79.066058552762,187.1,1.0,90.2,8098.8,9837.2,198.8,4.7,292434.0,140.3,143.1,5.8,2.9,188056450.797998,2004-03-01 00:00:00+00:00
90.480003,2004,4,1.198294,1920.150024,131410,79.3192049515436,187.4,1.0,90.3,8107.2,9887.5,200.9,5.1,292651.0,141.8,144.8,5.6,3.2,188318701.386267,2004-04-01 00:00:00+00:00
88.949997,2004,5,1.219899,1986.73999,131694,79.783306682643,188.2,1.0,90.5,8176.5,9972.9,202.9,5.1,292872.0,143.3,146.8,5.6,3.3,188476769.998936,2004-05-01 00:00:00+00:00
88.800003,2004,6,1.218398,2047.790039,131789,80.0364530814245,188.9,1.03,90.5,8157.6,10013.0,204.5,5.6,293103.0,142.9,147.2,5.6,3.3,188688948.303854,2004-06-01 00:00:00+00:00
89.959999,2004,7,1.201605,1887.359985,131849,79.9098798820338,189.1,1.26,90.7,8236.9,10060.0,205.6,5.0,293350.0,143.2,147.4,5.5,3.0,188841634.320888,2004-07-01 00:00:00+00:00
88.940002,2004,8,1.217804,1838.099976,131936,79.9520709484974,189.2,1.43,90.5,8271.6,10107.8,207.7,5.0,293603.0,143.7,148.0,5.4,2.8,189072589.046573,2004-08-01 00:00:00+00:00
87.360001,2004,9,1.243394,1896.839966,132082,80.1208352143517,189.8,1.61,90.4,8341.5,10142.9,210.3,4.4,293857.0,144.2,147.7,5.4,2.8,189218373.106603,2004-09-01 00:00:00+00:00
