periodDateUtc,unemployment,ManufacturingPMI,ServicesPMI,IndustrialProduction,AverageHourlyEarnings,MonthlyBudget,OLTSJobOpenings,ProducerPriceIndex_FoodEnergyMoM,ProducerPriceIndex_FoodEnergyYoY,RetailSales,ManufacturingPricesPaid,CompositePMI,FactoryOrders,ManufacturingNewOrdersIndex,ISMManufacturing
2023-06,3.6,46.3,54.4,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.2,0.0,46.0,46.0
2023-06,3.6,46.3,54.4,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.0,0.0,46.0,46.0
2023-06,3.6,46.3,54.1,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.2,0.0,46.0,46.0
2023-06,3.6,46.3,54.1,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.0,0.0,46.0,46.0
2023-06,3.6,46.3,54.4,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.2,0.0,46.0,46.0
2023-06,3.6,46.3,54.4,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.0,0.0,46.0,46.0
2023-06,3.6,46.3,54.1,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.2,0.0,46.0,46.0
2023-06,3.6,46.3,54.1,-0.5,0.4,-228.0,0.0,0.1,2.4,0.2,41.8,53.0,0.0,46.0,46.0
2023-05,3.7,48.4,54.9,-0.2,0.30000000000000004,-240.0,9.824,0.2,2.8,0.30000000000000004,44.2,54.3,0.30000000000000004,46.9,46.9
2023-05,3.7,48.4,54.9,-0.2,0.30000000000000004,-240.0,9.824,0.2,2.8,0.30000000000000004,44.2,54.5,0.30000000000000004,46.9,46.9
2023-05,3.7,48.4,55.1,-0.2,0.30000000000000004,-240.0,9.824,0.2,2.8,0.30000000000000004,44.2,54.3,0.30000000000000004,46.9,46.9
2023-05,3.7,48.4,55.1,-0.2,0.30000000000000004,-240.0,9.824,0.2,2.8,0.30000000000000004,44.2,54.5,0.30000000000000004,46.9,46.9
