DATE,LOANINV
1947-01-01,109.1167
1947-02-01,108.5303
1947-03-01,108.3706
1947-04-01,108.5608
1947-05-01,108.5390
1947-06-01,108.4594
1947-07-01,108.7475
1947-08-01,109.0453
1947-09-01,109.9219
1947-10-01,110.3755
1947-11-01,110.4326
1947-12-01,110.2967
1948-01-01,110.5953
1948-02-01,110.0761
1948-03-01,108.8849
1948-04-01,109.1684
1948-05-01,109.6134
1948-06-01,109.2955
1948-07-01,109.7454
1948-08-01,110.0076
1948-09-01,108.5618
1948-10-01,108.4238
1948-11-01,108.4534
1948-12-01,108.4296
1949-01-01,108.7641
1949-02-01,108.4479
1949-03-01,107.6018
1949-04-01,107.9954
1949-05-01,109.2832
1949-06-01,109.5609
1949-07-01,110.9276
1949-08-01,113.1459
1949-09-01,114.1981
1949-10-01,114.9226
1949-11-01,114.8874
1949-12-01,115.0211
1950-01-01,116.1112
1950-02-01,116.1957
1950-03-01,115.9573
1950-04-01,116.1235
1950-05-01,116.8723
1950-06-01,117.4882
1950-07-01,117.7143
1950-08-01,118.2155
1950-09-01,118.0929
1950-10-01,118.4827
1950-11-01,118.8961
1950-12-01,119.9058
1951-01-01,119.4752
1951-02-01,118.7619
1951-03-01,118.9110
1951-04-01,119.2305
1951-05-01,119.4367
1951-06-01,120.3143
1951-07-01,121.0784
1951-08-01,121.7116
1951-09-01,122.6403
1951-10-01,123.8801
1951-11-01,125.1604
1951-12-01,126.0234
1952-01-01,126.7118
1952-02-01,126.8290
1952-03-01,126.8514
1952-04-01,126.8807
1952-05-01,127.4780
1952-06-01,128.9566
1952-07-01,130.7720
1952-08-01,131.3125
1952-09-01,131.1674
1952-10-01,132.6880
1952-11-01,134.7939
1952-12-01,134.9764
1953-01-01,134.7660
1953-02-01,134.2731
1953-03-01,133.6093
1953-04-01,132.7109
1953-05-01,132.1249
1953-06-01,132.3537
1953-07-01,135.8110
1953-08-01,137.3436
1953-09-01,137.2036
1953-10-01,137.3154
1953-11-01,138.4895
1953-12-01,139.0245
1954-01-01,139.1033
1954-02-01,138.1766
1954-03-01,136.8298
1954-04-01,136.9905
1954-05-01,138.2038
1954-06-01,139.1057
1954-07-01,140.0063
1954-08-01,142.7178
1954-09-01,144.2423
1954-10-01,146.7959
1954-11-01,148.1817
1954-12-01,149.6950
1955-01-01,149.6990
1955-02-01,147.7184
1955-03-01,146.2994
1955-04-01,146.9810
1955-05-01,147.5767
1955-06-01,147.6081
1955-07-01,148.2622
1955-08-01,148.3847
1955-09-01,148.4766
1955-10-01,149.7924
1955-11-01,150.2225
1955-12-01,150.9756
1956-01-01,151.1310
1956-02-01,150.4261
1956-03-01,150.7274
1956-04-01,151.1740
1956-05-01,151.0998
1956-06-01,151.4688
1956-07-01,151.3737
1956-08-01,152.1120
1956-09-01,152.9470
1956-10-01,153.8354
1956-11-01,154.9537
1956-12-01,156.1520
1957-01-01,155.7092
1957-02-01,154.7855
1957-03-01,154.4419
