DATE,LFWA64TTUSM647S
1977-01-01,135146266.339225
1977-02-01,135350778.925432
1977-03-01,135572205.93330202
1977-04-01,135838614.992451
1977-05-01,136142677.80730698
1977-06-01,136340480.24690202
1977-07-01,136560194.309901
1977-08-01,136724937.633184
1977-09-01,136836759.349074
1977-10-01,137169536.860259
1977-11-01,137345413.387963
1977-12-01,137495383.455352
1978-01-01,137670019.815101
1978-02-01,137858096.12743
1978-03-01,138030606.746512
1978-04-01,138107485.119127
1978-05-01,138361760.102898
1978-06-01,138703452.115492
1978-07-01,138829223.085755
1978-08-01,138954787.57009098
1978-09-01,139101296.151086
1978-10-01,139331270.84967
1978-11-01,139566998.49264503
1978-12-01,139785170.01778197
1979-01-01,140082931.04188302
1979-02-01,140275850.519262
1979-03-01,140435457.46817002
1979-04-01,140465457.64596
1979-05-01,140681212.904571
1979-06-01,141082353.787244
1979-07-01,141184440.212882
1979-08-01,141311461.12573498
1979-09-01,141484654.047928
1979-10-01,141723429.32648
1979-11-01,141941028.417712
1979-12-01,142154495.25259998
1980-01-01,142423917.014846
1980-02-01,142600449.968757
1980-03-01,142750743.67807898
1980-04-01,142869824.778131
1980-05-01,143196255.065098
1980-06-01,143425598.814351
1980-07-01,143586544.984436
1980-08-01,143813332.45021
1980-09-01,143903853.995815
1980-10-01,144011876.601225
1980-11-01,144156608.675503
1980-12-01,144231518.556253
1981-01-01,144348679.09964103
1981-02-01,144476049.156939
1981-03-01,144664873.40313601
1981-04-01,144843786.544344
1981-05-01,145092016.650835
1981-06-01,145394139.542244
1981-07-01,145483473.86472398
1981-08-01,145580179.417882
1981-09-01,145638766.163728
1981-10-01,145813714.228327
1981-11-01,145969922.016181
1981-12-01,146086442.411723
1982-01-01,145930324.475805
1982-02-01,146022035.097839
1982-03-01,146212252.374327
1982-04-01,146535511.124235
1982-05-01,146813558.146039
1982-06-01,146956112.390559
1982-07-01,147080010.88712302
1982-08-01,147239104.921562
1982-09-01,147386404.868197
1982-10-01,147580305.933837
1982-11-01,147628506.53188
1982-12-01,147748616.488052
1983-01-01,147228305.27651498
1983-02-01,147332851.46164998
1983-03-01,147637999.482912
1983-04-01,147976264.934428
1983-05-01,148251732.733365
1983-06-01,148287340.323843
1983-07-01,148471465.252879
1983-08-01,148599941.027019
1983-09-01,148724882.84310502
1983-10-01,148853138.67246798
1983-11-01,148923588.12097397
1983-12-01,149073945.17502102
1984-01-01,149124999.87363502
1984-02-01,149272422.867037
1984-03-01,149425824.08532
1984-04-01,149651780.148017
1984-05-01,149740939.889449
1984-06-01,149941753.921109
1984-07-01,149998967.28223398
1984-08-01,150082944.55064398
1984-09-01,150264265.51059598
1984-10-01,150351731.504315
1984-11-01,150517955.299146
1984-12-01,150718825.34578001
1985-01-01,150513276.204577
1985-02-01,150630024.063621
1985-03-01,150785212.16382
1985-04-01,150942952.97861698
1985-05-01,151018190.729634
1985-06-01,151216385.40683
1985-07-01,151227618.947234
1985-08-01,151336316.845964
1985-09-01,151469816.755085
1985-10-01,151607156.94812799
1985-11-01,151784860.75809002
1985-12-01,151945671.859954
1986-01-01,152392528.935688
1986-02-01,152477025.650726
1986-03-01,152678397.71661702
1986-04-01,152719328.73165798
1986-05-01,152905038.299651
1986-06-01,152989078.13787502
1986-07-01,153083750.071677
1986-08-01,153259566.493706
1986-09-01,153424202.91529
1986-10-01,153544007.533395
1986-11-01,153736165.159825
1986-12-01,153833840.162056
1987-01-01,153905663.857603
1987-02-01,154104339.113845
1987-03-01,154176195.720593
1987-04-01,154371768.355196
1987-05-01,154519435.091549
1987-06-01,154600038.090083
1987-07-01,154687194.282564
1987-08-01,154796414.316925
1987-09-01,154927691.05657998
1987-10-01,155013873.944255
1987-11-01,155189049.16561598
1987-12-01,155280483.868713
1988-01-01,155413379.987402
1988-02-01,155553069.48886898
1988-03-01,155614265.022534
1988-04-01,155673115.971052
1988-05-01,155815839.877172
1988-06-01,155985972.76117998
1988-07-01,156085367.60733598
1988-08-01,156149680.084703
